LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1733303847.706209,312399.000,48883,2,GZ,1,100,0.427
1733303847.746209,312439.000,48901,3,GZ,1,100,-0.458
1733303847.786209,312479.000,48901,3,GZ,1,100,-1.343
1733303847.826210,312519.000,48901,3,GZ,1,100,-0.061
1733303847.861876,312554.667,48917,3,GZ,1,100,0.244
1733303847.897543,312590.333,48917,3,GZ,1,100,-0.092
1733303847.933210,312626.000,48917,3,GZ,1,100,0.183
1733303847.973210,312666.000,48932,2,GZ,1,100,-1.007
1733303848.013210,312706.000,48932,2,GZ,1,100,-0.519
1733303848.053210,312746.000,48949,3,GZ,1,100,-0.122
1733303848.093210,312786.000,48949,3,GZ,1,100,0.488
1733303848.133210,312826.000,48949,3,GZ,1,100,0.000
1733303848.173211,312866.000,48968,2,GZ,1,100,0.488
1733303848.213211,312906.000,48968,2,GZ,1,100,0.092
1733303848.253211,312946.000,48984,3,GZ,1,100,-0.366
1733303848.293211,312986.000,48984,3,GZ,1,100,-0.183
1733303848.333211,313026.000,48984,3,GZ,1,100,0.153
1733303848.373211,313066.000,49000,2,GZ,1,100,-0.122
1733303848.413211,313106.000,49000,2,GZ,1,100,0.061
1733303848.453211,313146.000,49016,3,GZ,1,100,-0.427
1733303848.493212,313186.000,49016,3,GZ,1,100,0.366
1733303848.533212,313226.000,49016,3,GZ,1,100,-0.244
1733303848.573212,313266.000,49033,3,GZ,1,100,-0.763
1733303848.613212,313306.000,49033,3,GZ,1,100,0.702
1733303848.653212,313346.000,49033,3,GZ,1,100,0.153
1733303848.693212,313386.000,49049,2,GZ,1,100,-0.458
1733303848.733212,313426.000,49049,2,GZ,1,100,-0.061
1733303848.773212,313466.000,49067,3,GZ,1,100,0.488
1733303848.813212,313506.000,49067,3,GZ,1,100,-0.336
1733303848.853213,313546.000,49067,3,GZ,1,100,-1.221
1733303848.893213,313586.000,49081,2,GZ,1,100,-0.244
1733303848.933213,313626.000,49081,2,GZ,1,100,0.549
1733303848.973213,313666.000,49100,3,GZ,1,100,-0.153
1733303849.013213,313706.000,49100,3,GZ,1,100,-0.671
1733303849.053213,313746.000,49100,3,GZ,1,100,0.000
1733303849.093213,313786.000,49117,2,GZ,1,100,0.153
1733303849.133214,313826.000,49117,2,GZ,1,100,-1.526
1733303849.173213,313866.000,49134,3,GZ,1,100,-3.082
1733303849.213214,313906.000,49134,3,GZ,1,100,0.305
1733303849.253214,313946.000,49134,3,GZ,1,100,1.587
1733303849.289964,313982.750,49156,4,GZ,1,100,-0.671
1733303849.326714,314019.500,49156,4,GZ,1,100,-0.122
1733303849.363464,314056.250,49156,4,GZ,1,100,0.153
1733303849.400214,314093.000,49156,4,GZ,1,100,-0.336
1733303849.439881,314132.667,49173,3,GZ,1,100,-0.336
1733303849.479548,314172.333,49173,3,GZ,1,100,-0.031
1733303849.519215,314212.000,49173,3,GZ,1,100,-0.793
1733303849.559215,314252.000,49188,2,GZ,1,100,-0.397
1733303849.599215,314292.000,49188,2,GZ,1,100,0.427
