LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1733303856.191484,320884.250,50277,4,EM,1,100,RS
1733303856.241734,320934.500,50277,4,EM,1,100,RB
1733303856.291985,320984.750,50277,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303856.342235,321035.000,50277,4,EM,1,100,PS
1733303856.392485,321085.250,50313,4,EM,1,100,RS
1733303856.442735,321135.500,50313,4,EM,1,100,RB
1733303856.492985,321185.750,50313,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303856.543235,321236.000,50313,4,EM,1,100,PS
1733303856.594485,321287.250,50344,4,EM,1,100,RS
1733303856.645736,321338.500,50344,4,EM,1,100,RB
1733303856.696986,321389.750,50344,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303856.748236,321441.000,50344,4,EM,1,100,PS
1733303856.798236,321491.000,50380,4,EM,1,100,RS
1733303856.848236,321541.000,50380,4,EM,1,100,RB
1733303856.898236,321591.000,50380,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303856.948236,321641.000,50380,4,EM,1,100,PS
1733303856.998487,321691.250,50411,4,EM,1,100,RS
1733303857.048737,321741.500,50411,4,EM,1,100,RB
1733303857.098987,321791.750,50411,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303857.149237,321842.000,50411,4,EM,1,100,PS
1733303857.199487,321892.250,50445,4,EM,1,100,RS
1733303857.249737,321942.500,50445,4,EM,1,100,RB
1733303857.299987,321992.750,50445,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303857.350238,322043.000,50445,4,EM,1,100,PS
1733303857.400488,322093.250,50477,4,EM,1,100,RS
1733303857.450738,322143.500,50477,4,EM,1,100,RB
1733303857.500988,322193.750,50477,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303857.551238,322244.000,50477,4,EM,1,100,PS
1733303857.601738,322294.500,50512,4,EM,1,100,RS
1733303857.652238,322345.000,50512,4,EM,1,100,RB
1733303857.702739,322395.500,50512,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303857.753239,322446.000,50512,4,EM,1,100,PS
1733303857.803239,322496.000,50544,4,EM,1,100,RS
1733303857.853239,322546.000,50544,4,EM,1,100,RB
1733303857.903239,322596.000,50544,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303857.953239,322646.000,50544,4,EM,1,100,PS
