LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1733303853.093225,317786.000,49760,2,PG,1,100,12035
1733303853.133225,317826.000,49760,2,PG,1,100,12015
1733303853.173225,317866.000,49777,3,PG,1,100,12038
1733303853.213225,317906.000,49777,3,PG,1,100,12025
1733303853.253226,317946.000,49777,3,PG,1,100,12029
1733303853.299726,317992.500,49795,2,PG,1,100,12044
1733303853.346226,318039.000,49795,2,PG,1,100,12054
1733303853.386226,318079.000,49811,3,PG,1,100,12074
1733303853.426226,318119.000,49811,3,PG,1,100,12083
1733303853.466226,318159.000,49811,3,PG,1,100,12103
1733303853.506226,318199.000,49827,2,PG,1,100,12103
1733303853.546226,318239.000,49827,2,PG,1,100,12120
1733303853.586226,318279.000,49844,3,PG,1,100,12111
1733303853.626227,318319.000,49844,3,PG,1,100,12085
1733303853.666227,318359.000,49844,3,PG,1,100,12043
1733303853.706227,318399.000,49860,2,PG,1,100,12003
1733303853.746227,318439.000,49860,2,PG,1,100,11984
1733303853.786227,318479.000,49876,3,PG,1,100,11988
1733303853.826227,318519.000,49876,3,PG,1,100,12001
1733303853.866227,318559.000,49876,3,PG,1,100,12004
1733303853.906227,318599.000,49892,2,PG,1,100,11995
1733303853.946228,318639.000,49892,2,PG,1,100,11984
1733303853.986228,318679.000,49909,3,PG,1,100,11981
1733303854.026228,318719.000,49909,3,PG,1,100,12003
1733303854.066228,318759.000,49909,3,PG,1,100,11998
1733303854.106228,318799.000,49928,2,PG,1,100,12019
1733303854.146228,318839.000,49928,2,PG,1,100,12025
1733303854.186228,318879.000,49944,3,PG,1,100,12039
1733303854.226228,318919.000,49944,3,PG,1,100,12055
1733303854.266228,318959.000,49944,3,PG,1,100,12074
1733303854.306229,318999.000,49959,3,PG,1,100,12088
