LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1733303860.859248,325552.000,51020,1,TH,1,100,30.275
1733303860.992248,325685.000,51053,1,TH,1,100,30.203
1733303861.126249,325819.000,51070,1,TH,1,100,30.203
1733303861.259249,325952.000,51087,1,TH,1,100,30.198
1733303861.392249,326085.000,51103,1,TH,1,100,30.205
1733303861.525250,326218.000,51137,1,TH,1,100,30.254
1733303861.659250,326352.000,51154,1,TH,1,100,30.254
1733303861.792251,326485.000,51173,1,TH,1,100,30.197
1733303861.925251,326618.000,51204,1,TH,1,100,30.197
1733303862.059251,326752.000,51221,1,TH,1,100,30.313
1733303862.192252,326885.000,51238,1,TH,1,100,30.313
1733303862.325252,327018.000,51269,1,TH,1,100,30.285
1733303862.459253,327152.000,51287,1,TH,1,100,30.292
1733303862.592253,327285.000,51305,1,TH,1,100,30.282
1733303862.725253,327418.000,51337,1,TH,1,100,30.282
1733303862.859254,327552.000,51354,1,TH,1,100,30.184
1733303862.992254,327685.000,51370,1,TH,1,100,30.184
1733303863.125254,327818.000,51402,1,TH,1,100,30.289
1733303863.259255,327952.000,51419,1,TH,1,100,30.289
1733303863.392255,328085.000,51435,1,TH,1,100,30.238
1733303863.525256,328218.000,51455,1,TH,1,100,30.238
1733303863.659256,328352.000,51486,1,TH,1,100,30.294
1733303863.792256,328485.000,51503,1,TH,1,100,30.294
1733303863.925257,328618.000,51520,1,TH,1,100,30.353
1733303864.059257,328752.000,51552,1,TH,1,100,30.360
1733303864.192258,328885.000,51568,1,TH,1,100,30.247
1733303864.325258,329018.000,51585,1,TH,1,100,30.247
1733303864.459258,329152.000,51619,1,TH,1,100,30.319
1733303864.592259,329285.000,51635,1,TH,1,100,30.319
1733303864.725259,329418.000,51657,1,TH,1,100,30.216
1733303864.858260,329551.000,51674,1,TH,1,100,30.216
1733303864.992260,329685.000,51691,1,TH,1,100,30.216
1733303865.125260,329818.000,51725,1,TH,1,100,30.223
1733303865.258261,329951.000,51741,1,TH,1,100,30.313
1733303865.392261,330085.000,51758,1,TH,1,100,30.313
1733303865.525262,330218.000,51790,1,TH,1,100,30.203
1733303865.658262,330351.000,51806,1,TH,1,100,30.203
1733303865.792262,330485.000,51824,1,TH,1,100,30.249
1733303865.925263,330618.000,51857,1,TH,1,100,30.249
1733303866.058263,330751.000,51873,1,TH,1,100,30.336
1733303866.192264,330885.000,51891,1,TH,1,100,30.336
1733303866.325264,331018.000,51922,1,TH,1,100,30.238
1733303866.458264,331151.000,51939,1,TH,1,100,30.245
1733303866.592265,331285.000,51958,1,TH,1,100,30.266
1733303866.725265,331418.000,51992,1,TH,1,100,30.266
1733303866.858265,331551.000,52008,1,TH,1,100,30.333
1733303866.992266,331685.000,52025,1,TH,1,100,30.333
1733303867.125266,331818.000,52042,1,TH,1,100,30.317
1733303867.258267,331951.000,52073,1,TH,1,100,30.317
1733303867.392267,332085.000,52090,1,TH,1,100,30.240
1733303867.525267,332218.000,52109,1,TH,1,100,30.239
1733303867.658268,332351.000,52140,1,TH,1,100,30.322
1733303867.792268,332485.000,52158,1,TH,1,100,30.329
1733303867.925269,332618.000,52174,1,TH,1,100,30.311
1733303868.058269,332751.000,52206,1,TH,1,100,30.311
1733303868.191269,332884.000,52223,1,TH,1,100,30.229
1733303868.325270,333018.000,52239,1,TH,1,100,30.229
1733303868.458270,333151.000,52273,1,TH,1,100,30.252
1733303868.592271,333285.000,52290,1,TH,1,100,30.252
1733303868.725271,333418.000,52306,1,TH,1,100,30.306
1733303868.858271,333551.000,52338,1,TH,1,100,30.306
1733303868.991272,333684.000,52355,1,TH,1,100,30.329
1733303869.125272,333818.000,52372,1,TH,1,100,30.336
1733303869.258272,333951.000,52391,1,TH,1,100,30.305
1733303869.391273,334084.000,52423,1,TH,1,100,30.305
1733303869.525273,334218.000,52439,1,TH,1,100,30.326
1733303869.658274,334351.000,52456,1,TH,1,100,30.326
1733303869.791274,334484.000,52493,1,TH,1,100,30.236
1733303869.925274,334618.000,52510,1,TH,1,100,30.236
1733303870.058275,334751.000,52527,1,TH,1,100,30.323
1733303870.191275,334884.000,52544,1,TH,1,100,30.323
1733303870.325276,335018.000,52575,1,TH,1,100,30.338
1733303870.458276,335151.000,52593,1,TH,1,100,30.346
1733303870.591276,335284.000,52609,1,TH,1,100,30.341
1733303870.725277,335418.000,52628,1,TH,1,100,30.341
1733303870.858277,335551.000,52660,1,TH,1,100,30.228
1733303870.991278,335684.000,52676,1,TH,1,100,30.227
1733303871.125278,335818.000,52694,1,TH,1,100,30.274
1733303871.258278,335951.000,52725,1,TH,1,100,30.274
1733303871.391279,336084.000,52741,1,TH,1,100,30.255
1733303871.524279,336217.000,52761,1,TH,1,100,30.255
1733303871.658280,336351.000,52794,1,TH,1,100,30.309
1733303871.791280,336484.000,52811,1,TH,1,100,30.309
1733303871.924280,336617.000,52828,1,TH,1,100,30.294
1733303872.058281,336751.000,52860,1,TH,1,100,30.301
1733303872.191281,336884.000,52876,1,TH,1,100,30.275
1733303872.325282,337018.000,52895,1,TH,1,100,30.275
1733303872.458282,337151.000,52927,1,TH,1,100,30.255
1733303872.591282,337284.000,52943,1,TH,1,100,30.255
1733303872.724283,337417.000,52960,1,TH,1,100,30.332
1733303872.858283,337551.000,52992,1,TH,1,100,30.332
1733303872.991283,337684.000,53008,1,TH,1,100,30.326
