LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1733303850.985219,315678.000,49412,1,EA,1,100,0.030204
1733303851.051719,315744.500,49429,2,EA,1,100,0.030204
1733303851.118219,315811.000,49429,2,EA,1,100,0.030204
1733303851.185220,315878.000,49446,1,EA,1,100,0.030204
1733303851.251720,315944.500,49460,2,EA,1,100,0.030204
1733303851.318220,316011.000,49460,2,EA,1,100,0.030204
1733303851.385220,316078.000,49477,1,EA,1,100,0.030204
1733303851.452220,316145.000,49498,2,EA,1,100,0.030204
1733303851.519220,316212.000,49498,2,EA,1,100,0.030204
1733303851.585221,316278.000,49515,1,EA,1,100,0.030204
1733303851.652221,316345.000,49530,2,EA,1,100,0.030204
1733303851.719221,316412.000,49530,2,EA,1,100,0.030204
1733303851.785221,316478.000,49547,1,EA,1,100,0.030204
1733303851.851721,316544.500,49563,2,EA,1,100,0.030204
1733303851.918222,316611.000,49563,2,EA,1,100,0.030204
1733303851.985222,316678.000,49580,2,EA,1,100,0.030204
1733303852.052222,316745.000,49580,2,EA,1,100,0.030204
1733303852.118222,316811.000,49597,1,EA,1,100,0.030204
1733303852.185222,316878.000,49612,2,EA,1,100,0.030204
1733303852.252223,316945.000,49612,2,EA,1,100,0.030204
1733303852.318223,317011.000,49628,1,EA,1,100,0.030204
1733303852.385223,317078.000,49648,2,EA,1,100,0.030204
1733303852.452223,317145.000,49648,2,EA,1,100,0.030204
1733303852.518223,317211.000,49664,1,EA,1,100,0.030204
1733303852.585223,317278.000,49679,2,EA,1,100,0.030204
1733303852.652224,317345.000,49679,2,EA,1,100,0.030203
1733303852.718224,317411.000,49695,1,EA,1,100,0.030204
1733303852.785224,317478.000,49713,2,EA,1,100,0.030204
1733303852.852224,317545.000,49713,2,EA,1,100,0.030204
1733303852.918225,317611.000,49729,1,EA,1,100,0.030204
1733303852.985225,317678.000,49744,2,EA,1,100,0.030204
1733303853.052225,317745.000,49744,2,EA,1,100,0.030204
1733303853.118225,317811.000,49761,1,EA,1,100,0.030204
1733303853.185225,317878.000,49778,2,EA,1,100,0.030204
1733303853.252225,317945.000,49778,2,EA,1,100,0.030204
1733303853.318226,318011.000,49796,1,EA,1,100,0.030204
1733303853.385226,318078.000,49812,2,EA,1,100,0.030204
1733303853.452226,318145.000,49812,2,EA,1,100,0.030204
1733303853.518226,318211.000,49828,1,EA,1,100,0.030204
1733303853.585227,318278.000,49845,2,EA,1,100,0.030204
1733303853.652227,318345.000,49845,2,EA,1,100,0.030204
1733303853.718227,318411.000,49861,1,EA,1,100,0.030204
1733303853.785227,318478.000,49877,2,EA,1,100,0.030204
1733303853.852227,318545.000,49877,2,EA,1,100,0.030203
1733303853.918227,318611.000,49893,1,EA,1,100,0.030204
1733303853.985228,318678.000,49910,2,EA,1,100,0.030203
1733303854.052228,318745.000,49910,2,EA,1,100,0.030204
1733303854.118228,318811.000,49929,1,EA,1,100,0.030204
1733303854.185228,318878.000,49945,2,EA,1,100,0.030203
1733303854.252228,318945.000,49945,2,EA,1,100,0.030203
1733303854.318729,319011.500,49960,2,EA,1,100,0.030203
1733303854.385229,319078.000,49960,2,EA,1,100,0.030203
1733303854.451729,319144.500,49983,2,EA,1,100,0.030203
1733303854.518229,319211.000,49983,2,EA,1,100,0.030203
1733303854.585229,319278.000,49999,1,EA,1,100,0.030203
1733303854.651730,319344.500,50016,2,EA,1,100,0.030203
1733303854.718230,319411.000,50016,2,EA,1,100,0.030203
1733303854.785230,319478.000,50033,1,EA,1,100,0.030203
1733303854.851730,319544.500,50048,2,EA,1,100,0.030203
1733303854.918230,319611.000,50048,2,EA,1,100,0.030203
1733303854.985231,319678.000,50064,1,EA,1,100,0.030203
1733303855.051731,319744.500,50084,2,EA,1,100,0.030203
1733303855.118231,319811.000,50084,2,EA,1,100,0.030203
1733303855.185231,319878.000,50100,1,EA,1,100,0.030203
1733303855.251731,319944.500,50116,2,EA,1,100,0.030203
1733303855.318232,320011.000,50116,2,EA,1,100,0.030203
1733303855.385232,320078.000,50131,1,EA,1,100,0.030203
1733303855.451732,320144.500,50149,2,EA,1,100,0.030203
1733303855.518232,320211.000,50149,2,EA,1,100,0.030203
1733303855.584732,320277.500,50165,2,EA,1,100,0.030203
1733303855.651232,320344.000,50165,2,EA,1,100,0.030203
1733303855.718233,320411.000,50182,1,EA,1,100,0.030203
1733303855.784733,320477.500,50197,2,EA,1,100,0.030203
1733303855.851233,320544.000,50197,2,EA,1,100,0.030203
1733303855.918233,320611.000,50214,1,EA,1,100,0.030203
1733303855.984734,320677.500,50232,2,EA,1,100,0.030203
1733303856.051234,320744.000,50232,2,EA,1,100,0.030203
1733303856.118234,320811.000,50250,1,EA,1,100,0.030203
1733303856.184734,320877.500,50264,2,EA,1,100,0.030203
1733303856.251234,320944.000,50264,2,EA,1,100,0.030203
1733303856.318234,321011.000,50281,1,EA,1,100,0.030203
1733303856.384735,321077.500,50298,2,EA,1,100,0.030203
1733303856.451235,321144.000,50298,2,EA,1,100,0.030203
1733303856.518235,321211.000,50317,1,EA,1,100,0.030203
1733303856.584735,321277.500,50331,2,EA,1,100,0.030203
1733303856.651236,321344.000,50331,2,EA,1,100,0.030203
1733303856.718236,321411.000,50350,1,EA,1,100,0.030203
1733303856.784736,321477.500,50367,2,EA,1,100,0.030203
1733303856.851236,321544.000,50367,2,EA,1,100,0.030203
1733303856.918236,321611.000,50384,1,EA,1,100,0.030203
1733303856.984736,321677.500,50398,2,EA,1,100,0.030203
1733303857.051237,321744.000,50398,2,EA,1,100,0.030203
1733303857.118237,321811.000,50416,1,EA,1,100,0.030203
1733303857.184737,321877.500,50432,2,EA,1,100,0.030203
1733303857.251237,321944.000,50432,2,EA,1,100,0.030203
1733303857.318238,322011.000,50449,1,EA,1,100,0.030204
1733303857.384738,322077.500,50465,2,EA,1,100,0.030203
1733303857.451238,322144.000,50465,2,EA,1,100,0.030203
1733303857.518238,322211.000,50481,1,EA,1,100,0.030203
1733303857.584738,322277.500,50499,2,EA,1,100,0.030203
